feature,importance
age_years,0.11770567843784216
education,0.05355810948705002
internet_frequency,0.049156437294450094
county,0.026638293389467306
livelihood,0.02310796641590589
can_access_internet,0.01638284752732262
financial_health,0.014347865812113225
children_in_household,0.010090002617050887
sex,0.007678203548362128
household_size,0.004357643581399784
marital_status,0.004047443781062032
